alias,hardware_type,processor_id,configuration,hw_code,hw_make,hw_model
PACU M-324 ACU,energy_meter,0000000078a332bc,accu_rev_1310,energy_meter-501--0000000078a332bc,Acrel,ADL400(3-Phase EM)
PACU M-325 ACU,energy_meter,0000000078a332bc,accu_rev_1310,energy_meter-502--0000000078a332bc,Acrel,ADL400(3-Phase EM)
PACU M-326 ACU,energy_meter,0000000078a332bc,accu_rev_1310,energy_meter-503--0000000078a332bc,Acrel,ADL400(3-Phase EM)
PACU M-327 ACU,energy_meter,0000000078a332bc,accu_rev_1310,energy_meter-504--0000000078a332bc,Acrel,ADL400(3-Phase EM)
Elevator EM 5th Floor,energy_meter,0000000078a332bc,accu_rev_1310,energy_meter-505--0000000078a332bc,Acrel,ADL400(3-Phase EM)
COOLING TOWER ROOFTOP,energy_meter,0000000078a332bc,meter_schneider,energy_meter-506--0000000078a332bc,Schneider,PM2100(3-Phase EM)
LRC Rectifier Sys A,dc_plant,0000000078a332bc,huawei_snmp,dc_plant-507--0000000078a332bc,Huawei,SMU02B
LRC Rectifier Sys A Battery-1,battery,0000000078a332bc,huawei_snmp,battery-508--0000000078a332bc,Huawei,SMU02B
LRC Rectifier Sys B,dc_plant,0000000078a332bc,huawei_snmp,dc_plant-509--0000000078a332bc,Huawei,SMU02B
LRC Rectifier Sys B Battery-1,battery,0000000078a332bc,huawei_snmp,battery-510--0000000078a332bc,Huawei,SMU02B
Battery-1,battery,0000000078a332bc,lion_battery,battery-511--0000000078a332bc,ENCAP,
Battery-2,battery,0000000078a332bc,lion_battery,battery-512--0000000078a332bc,ENCAP,
Battery-3,battery,0000000078a332bc,lion_battery,battery-513--0000000078a332bc,ENCAP,
Battery-4,battery,0000000078a332bc,lion_battery,battery-514--0000000078a332bc,ENCAP,
Battery-5,battery,0000000078a332bc,lion_battery,battery-515--0000000078a332bc,ENCAP,
Battery-6,battery,0000000078a332bc,lion_battery,battery-516--0000000078a332bc,ENCAP,
Battery-7,battery,0000000078a332bc,lion_battery,battery-517--0000000078a332bc,ENCAP,
Battery-8,battery,0000000078a332bc,lion_battery,battery-518--0000000078a332bc,ENCAP,
Battery-9,battery,0000000078a332bc,lion_battery,battery-519--0000000078a332bc,ENCAP,
Battery-10,battery,0000000078a332bc,lion_battery,battery-520--0000000078a332bc,ENCAP,
Battery-11,battery,0000000078a332bc,lion_battery,battery-521--0000000078a332bc,ENCAP,
Battery-12,battery,0000000078a332bc,lion_battery,battery-522--0000000078a332bc,ENCAP,
Battery-13,battery,0000000078a332bc,lion_battery,battery-523--0000000078a332bc,ENCAP,
Battery-14,battery,0000000078a332bc,lion_battery,battery-524--0000000078a332bc,ENCAP,
